Rk,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALL NBA
483,Sindarius Thornwell,SG,26,TOT,21,1,217,6.6,0.414,0.5,0.174,1.4,7.4,4.4,13,2.9,0.9,12.4,11.1,-0.2,0.2,0,0.009,-5.7,0.9,-4.7,-0.2,0
483,Sindarius Thornwell,SG,26,NOP,14,1,73,4.5,0.388,0.429,0.095,1.5,5.9,3.7,7,3.3,1.3,15.5,14.9,-0.2,0.1,-0.1,-0.057,-6,0.7,-5.3,-0.1,0
483,Sindarius Thornwell,SG,26,ORL,7,0,144,7.7,0.434,0.56,0.24,1.4,8.2,4.7,16,2.7,0.6,9.8,9.2,0,0.1,0.1,0.042,-5.5,1.1,-4.4,-0.1,0
484,Matisse Thybulle,SG,23,PHI,65,8,1298,10.1,0.508,0.588,0.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.1,2.7,2.8,0.102,-2.6,4.5,1.9,1.3,0
485,Killian Tillie,C,22,MEM,18,1,182,8.5,0.461,0.579,0.193,3.5,10.6,7,5.6,1.3,4,3.1,14.8,0,0.2,0.2,0.055,-3.4,-0.3,-3.7,-0.1,0
486,Xavier Tillman Sr.,PF,22,MEM,59,12,1085,14.7,0.605,0.217,0.177,7.2,18,12.5,9.4,1.9,2.7,12.3,14.3,1.4,1.5,2.9,0.127,-1.3,1.1,-0.2,0.5,0
487,Anthony Tolliver,PF,35,PHI,11,0,99,4,0.433,0.824,0.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,-0.1,0.1,0.1,0.025,-5.6,-1.5,-7,-0.1,0
488,Obi Toppin,PF,22,NYK,62,0,683,12.7,0.574,0.407,0.124,4.2,17.6,11,6.4,1.2,2.1,9.4,15.9,0.5,1,1.5,0.109,-1.4,0.7,-0.7,0.2,0
489,Juan Toscano-Anderson,SG,27,GSW,53,16,1107,12.6,0.676,0.44,0.148,2.8,19.5,11.3,18.1,1.7,2.1,21.5,11,1.4,1.6,3,0.13,-1.4,2.2,0.8,0.8,0
490,Axel Toupane,SF,28,MIL,8,1,61,9,0.497,0.182,0.636,0,10,5.2,7.6,1.5,4.4,0,9.7,0.1,0.1,0.1,0.097,-4.1,1.1,-3,0,0
491,Karl-Anthony Towns,C,25,MIN,50,50,1689,23.1,0.612,0.36,0.355,8.2,26.4,17,22.6,1.1,2.9,13.7,29.1,3.8,1.6,5.4,0.153,4.3,0.2,4.5,2.8,0
492,Gary Trent Jr.,SG,22,TOT,58,38,1802,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1,0
492,Gary Trent Jr.,SG,22,POR,41,23,1262,12.4,0.55,0.582,0.143,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,1.2,0.3,1.5,0.056,-0.1,-1.8,-1.9,0,0
492,Gary Trent Jr.,SG,22,TOR,17,15,540,11.3,0.501,0.475,0.119,1.2,11.6,6.2,6.4,1.7,0.7,4.2,22.9,-0.2,0.4,0.2,0.019,-1.6,-1.5,-3.1,-0.2,0
493,P.J. Tucker,PF,35,TOT,52,33,1356,5.5,0.51,0.672,0.158,3.9,12.3,8,5.7,1.4,1.3,17.4,7.2,0.1,0.9,1,0.034,-4.6,0.5,-4.1,-0.7,0
493,P.J. Tucker,PF,35,HOU,32,32,959,5.5,0.5,0.656,0.176,3.5,13.3,8.2,6.1,1.4,1.7,19,7.7,-0.2,0.6,0.4,0.021,-5.3,0.7,-4.6,-0.6,0
493,P.J. Tucker,PF,35,MIL,20,1,397,5.7,0.539,0.717,0.109,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,0.2,0.3,0.5,0.065,-2.9,0,-2.9,-0.1,0
494,Rayjon Tucker,PG,23,PHI,14,0,68,15.1,0.645,0.389,1.056,1.6,15.9,8.9,12.2,1.4,0,13.2,19.2,0.1,0.1,0.2,0.166,-3,-0.4,-3.4,0,0
495,Myles Turner,C,24,IND,47,47,1455,15.3,0.599,0.477,0.329,4.7,18,11.4,4.4,1.3,8.8,11.9,16.4,1.1,2.2,3.3,0.11,-1.6,2,0.4,0.9,0
496,Jonas Valančiūnas,C,28,MEM,62,61,1755,24.4,0.636,0.077,0.273,15.1,31.9,23.4,10,1,2.9,10.7,22.4,5.1,2.6,7.8,0.213,3.2,-0.3,3,2.2,0
497,Denzel Valentine,SG,27,CHI,62,3,1036,10.1,0.479,0.582,0.041,2.6,18.3,10.5,14,1.4,0.6,9,19.5,-0.4,1.1,0.7,0.032,-2.2,-0.4,-2.7,-0.2,0
498,Jarred Vanderbilt,PF,21,MIN,64,30,1139,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,0.132,-1.4,1.4,-0.1,0.5,0
499,Fred VanVleet,SG,26,TOR,52,52,1899,16.8,0.534,0.547,0.22,1.8,11.3,6.4,26.7,2.2,2,9.1,23.9,2.4,1.8,4.3,0.108,2.2,0.2,2.5,2.2,0
500,Anderson Varejão,C,38,CLE,5,0,36,12.9,0.326,0.063,0.563,21.3,41.4,31.1,12.2,0,5,4.8,25.4,-0.1,0,0,-0.029,-3.7,-3.3,-7.1,0,0
501,Devin Vassell,SF,20,SAS,62,7,1056,10.6,0.524,0.495,0.168,2.4,15.4,8.8,7.1,2,1.4,6.3,14.3,0.4,1.1,1.5,0.069,-2.2,0.7,-1.5,0.1,0
502,Gabe Vincent,PG,24,MIA,50,7,655,7.6,0.498,0.639,0.099,1.8,7.9,4.9,15.1,1.6,0.3,12.3,19.1,-0.4,0.5,0.2,0.011,-4.5,-0.9,-5.4,-0.6,0
503,Noah Vonleh,PF,25,BRK,4,0,11,-19,0,0.667,0,0,9.6,5,10.2,0,0,40,19.8,-0.1,0,-0.1,-0.488,-20.9,-5.8,-26.7,-0.1,0
504,Nikola Vučević,C,30,TOT,70,70,2348,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3,6.3,0.129,4.9,0.4,5.3,4.4,0
504,Nikola Vučević,C,30,ORL,44,44,1500,23.5,0.565,0.317,0.121,5.8,30.8,17.9,22.1,1.4,1.7,8,29.9,2.1,1.8,3.9,0.125,5.5,0.4,5.9,3,0
504,Nikola Vučević,C,30,CHI,26,26,848,21.8,0.55,0.311,0.094,7.8,31.2,19.6,20,1.3,2.1,7.8,28.2,1.2,1.2,2.4,0.137,3.8,0.5,4.4,1.4,0
505,Dean Wade,PF,24,CLE,63,19,1212,11.3,0.573,0.685,0.125,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,1.1,0.9,2,0.08,-1.1,-0.1,-1.3,0.2,0
506,Moritz Wagner,C,23,TOT,45,24,722,12.5,0.58,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,0.082,-2.7,0.2,-2.6,-0.1,0
506,Moritz Wagner,C,23,WAS,25,13,375,15.4,0.614,0.344,0.426,3.7,16.9,10.3,11.7,2.7,1.8,12.7,18.3,0.5,0.5,1,0.134,-1.5,1.3,-0.1,0.2,0
506,Moritz Wagner,C,23,BOS,9,1,61,-1,0.37,0.429,0.143,5.4,29.4,17.3,12.4,0,1.5,37.7,16.9,-0.2,0.1,-0.2,-0.146,-10,-0.3,-10.3,-0.1,0
506,Moritz Wagner,C,23,ORL,11,10,286,11.5,0.563,0.462,0.355,3.9,16.1,9.8,6.3,0.7,2.9,10.8,18.2,0.2,0.2,0.4,0.063,-2.9,-1.2,-4,-0.1,0
507,Kemba Walker,PG,30,BOS,43,43,1369,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,0
508,Lonnie Walker IV,SG,22,SAS,60,38,1522,9.8,0.523,0.463,0.115,1,10.1,5.4,9.6,0.9,0.8,9.2,20.1,-0.5,0.9,0.4,0.012,-2.3,-1.4,-3.7,-0.7,0
509,John Wall,PG,30,HOU,40,40,1288,15.4,0.503,0.343,0.291,1.3,9.7,5.3,36.2,1.5,2.1,14.7,31.7,-1,0.8,-0.2,-0.007,1.2,-1.9,-0.7,0.4,0
510,Brad Wanamaker,PG,31,TOT,61,0,1053,9.5,0.489,0.284,0.338,1.8,8.8,5.3,22.5,1.9,1,17.1,16.9,-0.2,1,0.9,0.039,-4.4,0.3,-4,-0.5,0
510,Brad Wanamaker,PG,31,GSW,39,0,625,8.5,0.468,0.353,0.324,1.4,9.8,5.6,20.8,2,0.8,15.8,16,-0.2,0.7,0.5,0.036,-4.4,0.9,-3.5,-0.2,0
510,Brad Wanamaker,PG,31,CHO,22,0,428,10.9,0.518,0.19,0.357,2.5,7.5,4.9,25,1.9,1.2,18.9,18.1,0.1,0.3,0.4,0.044,-4.4,-0.5,-4.8,-0.3,0
511,T.J. Warren,SF,27,IND,4,4,117,11.6,0.56,0.137,0.196,1.9,11.1,6.5,6.5,0.8,0,6.7,21.6,0.1,0.1,0.1,0.045,-3.6,-1.9,-5.5,-0.1,0
512,P.J. Washington,PF,22,CHO,64,61,1954,13.4,0.549,0.423,0.211,5.1,18.3,11.6,12.2,1.7,4,14.6,19.4,0.3,2.4,2.7,0.066,-1.5,0.6,-0.9,0.6,0
513,Yuta Watanabe,SF,26,TOR,50,4,723,12.2,0.565,0.5,0.161,5.3,19.4,12.1,7.7,1.7,2.6,9,12.7,0.7,0.8,1.5,0.102,-1.1,0.5,-0.7,0.2,0
514,Tremont Waters,PG,23,BOS,26,3,238,14.6,0.541,0.452,0.202,2.3,7.5,4.9,36.4,3.1,0.4,22.8,21.4,0.2,0.2,0.4,0.08,0.4,-0.1,0.3,0.1,0
515,Paul Watson,SF,26,TOR,27,2,297,10.9,0.649,0.78,0.098,1.4,15.7,8.3,8.2,1,1,9.5,13.7,0.4,0.2,0.6,0.096,-0.8,-0.6,-1.3,0.1,0
516,Quinndary Weatherspoon,SG,24,SAS,20,0,121,9.6,0.547,0.171,0.457,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,-0.1,0.1,0.1,0.023,-5.8,0.7,-5,-0.1,0
517,Russell Westbrook,PG,32,WAS,65,65,2369,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,0
518,Coby White,PG,20,CHI,69,54,2156,12,0.54,0.503,0.157,1.5,13,7.3,21.8,0.9,0.6,13.9,22.5,0.7,1.7,2.4,0.052,-1.2,-1.2,-2.4,-0.2,0
519,Derrick White,SG,26,SAS,36,32,1064,15,0.55,0.536,0.252,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,1,0.9,1.9,0.085,1.3,0,1.3,0.9,0
520,Hassan Whiteside,C,31,SAC,36,4,546,19.2,0.566,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,0.3,0.6,0.9,0.081,-1.8,-0.4,-2.2,0,0
521,Greg Whittington,PF,27,DEN,4,0,12,-10.2,0,0.667,0,0,0,0,0,0,0,0,10.9,-0.1,0,-0.1,-0.259,-11.4,-5.7,-17.2,0,0
522,Andrew Wiggins,PF,25,GSW,71,71,2364,15,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0,-0.4,-0.4,1,0
523,Grant Williams,PF,22,BOS,63,9,1138,7.5,0.546,0.522,0.206,4.7,12.8,8.7,7.4,1.4,2,17.2,12.3,0.1,1,1.1,0.046,-4,0.3,-3.7,-0.5,0
524,Kenrich Williams,PF,26,OKC,66,13,1426,14,0.599,0.285,0.153,6.1,14,10,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,0.096,-1.2,0.5,-0.7,0.4,0
525,Lou Williams,PG,34,TOT,66,4,1423,14,0.519,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13,25.7,0.5,1.2,1.7,0.056,-1,-1.5,-2.5,-0.2,0
525,Lou Williams,PG,34,LAC,42,3,918,15.7,0.529,0.277,0.277,1.9,8.7,5.4,23.3,2.1,0.4,12,26.5,0.7,0.9,1.6,0.084,-0.5,-1,-1.5,0.1,0
525,Lou Williams,PG,34,ATL,24,1,505,10.8,0.498,0.25,0.25,1.3,9.3,5.4,23.7,0.8,0.3,14.9,24.3,-0.2,0.2,0,0.004,-1.8,-2.5,-4.3,-0.3,0
526,Patrick Williams,PF,19,CHI,71,71,1983,10.5,0.562,0.261,0.237,3.7,14.4,9.1,6.7,1.6,2,14.4,14.9,0.3,2.2,2.5,0.06,-2.8,0.4,-2.4,-0.2,0
527,Robert Williams,C,23,BOS,52,13,985,25.7,0.719,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15,3.4,1.9,5.3,0.258,2.9,3.1,6,2,0
528,Zion Williamson,PF,20,NOP,61,61,2026,27.1,0.649,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,7.1,1.6,8.7,0.205,6.1,-0.3,5.8,4,0
529,D.J. Wilson,PF,24,TOT,35,1,433,11.5,0.511,0.518,0.149,4.8,23.2,13.7,7.9,1.2,3.3,10.9,19.7,-0.2,0.5,0.3,0.032,-2.7,-0.6,-3.3,-0.1,0
529,D.J. Wilson,PF,24,MIL,12,0,105,8.4,0.49,0.651,0.047,3.1,21.3,12.5,3.7,0.4,3.4,8.4,19.1,-0.1,0.1,0,0.022,-3.7,-1.4,-5.1,-0.1,0
529,D.J. Wilson,PF,24,HOU,23,1,328,12.5,0.518,0.472,0.184,5.3,23.8,14.1,9.3,1.4,3.3,11.8,19.9,-0.1,0.3,0.2,0.036,-2.3,-0.4,-2.7,-0.1,0
530,Dylan Windler,SF,24,CLE,31,0,513,10.8,0.567,0.592,0.208,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,0,0.5,0.5,0.045,-2,0.3,-1.7,0,0
531,Justise Winslow,SF,24,MEM,26,1,507,6.2,0.395,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.2,-6,-0.5,0
532,Cassius Winston,PG,22,WAS,22,0,98,10.8,0.575,0.515,0.182,0,9.7,4.9,16.3,0.9,0.9,12.3,17.2,0.1,0.1,0.1,0.066,-2.1,-1.1,-3.2,0,0
533,James Wiseman,C,19,GSW,39,27,836,13.1,0.552,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.2,0.7,0.042,-4,-1,-5,-0.6,0
534,Christian Wood,C,25,HOU,41,41,1326,20,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,1.4,1.4,2.8,0.1,1.7,-0.3,1.4,1.1,0
535,Robert Woodard II,SF,21,SAC,13,0,45,12.5,0.425,0.3,0.4,9.7,30,19.7,6.3,0,5.6,4.1,23.4,0,0,0,-0.011,-2.7,-2.6,-5.3,0,0
536,Delon Wright,SG-PG,28,TOT,63,39,1748,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23,2.8,1.5,12.6,16.3,2.5,1.8,4.3,0.117,0.6,1.5,2.2,1.8,0
536,Delon Wright,SG,28,DET,36,31,1052,16.5,0.562,0.304,0.307,3.9,13.6,8.7,25.7,2.7,1.6,12.6,15.8,1.7,1.3,2.9,0.134,0.7,2.2,2.9,1.3,0
536,Delon Wright,PG,28,SAC,27,8,696,15.9,0.563,0.369,0.16,4.4,12.5,8.4,18.9,3,1.3,12.7,17.1,0.8,0.5,1.3,0.092,0.5,0.6,1.2,0.6,0
537,Thaddeus Young,PF,32,CHI,68,23,1652,20.3,0.578,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,2.8,2.2,5.1,0.147,1.9,1.4,3.3,2.2,0
538,Trae Young,PG,22,ATL,63,63,2125,23,0.589,0.357,0.491,2,10.5,6.3,45.5,1.2,0.5,16.2,33,5.9,1.3,7.2,0.163,5.3,-1.7,3.7,3,0
539,Cody Zeller,C,28,CHO,48,21,1005,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,2.1,1.1,3.3,0.156,-0.2,-0.2,-0.5,0.4,0
540,Ivica Zubac,C,23,LAC,72,33,1609,19.1,0.693,0.01,0.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,0.206,0.6,0.4,1,1.2,0
